feature,importance
sub_grade_F1,0.0
sub_grade_F2,0.0
sub_grade_F3,0.0
sub_grade_F4,0.0
sub_grade_F5,0.0
sub_grade_G1,0.0
earliest_cr_line_Mar_97,0.0
earliest_cr_line_Sep_64,0.0
earliest_cr_line_Mar_99,0.0
earliest_cr_line_May_00,0.0
earliest_cr_line_Sep_65,0.0
earliest_cr_line_May_02,0.0
earliest_cr_line_May_03,0.0
earliest_cr_line_May_05,0.0
earliest_cr_line_May_06,0.0
earliest_cr_line_May_08,0.0
earliest_cr_line_May_09,0.0
earliest_cr_line_May_10,0.0
earliest_cr_line_Sep_66,0.0
earliest_cr_line_May_12,0.0
earliest_cr_line_May_55,0.0
earliest_cr_line_May_60,0.0
earliest_cr_line_May_61,0.0
earliest_cr_line_May_63,0.0
earliest_cr_line_May_64,0.0
earliest_cr_line_May_65,0.0
earliest_cr_line_May_66,0.0
earliest_cr_line_May_67,0.0
earliest_cr_line_May_68,0.0
earliest_cr_line_May_69,0.0
earliest_cr_line_May_70,0.0
earliest_cr_line_May_71,0.0
earliest_cr_line_May_72,0.0
earliest_cr_line_May_73,0.0
earliest_cr_line_May_74,0.0
earliest_cr_line_May_75,0.0
earliest_cr_line_May_76,0.0
earliest_cr_line_May_77,0.0
earliest_cr_line_May_78,0.0
earliest_cr_line_May_79,0.0
earliest_cr_line_May_80,0.0
earliest_cr_line_May_81,0.0
earliest_cr_line_May_82,0.0
earliest_cr_line_May_83,0.0
earliest_cr_line_Sep_67,0.0
earliest_cr_line_May_85,0.0
earliest_cr_line_May_86,0.0
earliest_cr_line_May_87,0.0
earliest_cr_line_May_88,0.0
inflation_rate,0.0
earliest_cr_line_May_90,0.0
earliest_cr_line_May_91,0.0
earliest_cr_line_May_92,0.0
earliest_cr_line_May_93,0.0
earliest_cr_line_May_94,0.0
earliest_cr_line_May_96,0.0
earliest_cr_line_May_97,0.0
earliest_cr_line_May_98,0.0
earliest_cr_line_May_99,0.0
earliest_cr_line_Nov_00,0.0
earliest_cr_line_Nov_01,0.0
earliest_cr_line_Nov_02,0.0
earliest_cr_line_Nov_04,0.0
earliest_cr_line_Nov_05,0.0
earliest_cr_line_Nov_07,0.0
earliest_cr_line_Nov_09,0.0
earliest_cr_line_Nov_11,0.0
earliest_cr_line_Nov_12,0.0
earliest_cr_line_Nov_56,0.0
earliest_cr_line_Nov_57,0.0
earliest_cr_line_Nov_58,0.0
earliest_cr_line_Nov_59,0.0
earliest_cr_line_Nov_62,0.0
earliest_cr_line_Nov_63,0.0
earliest_cr_line_Nov_64,0.0
earliest_cr_line_Nov_65,0.0
earliest_cr_line_Nov_66,0.0
earliest_cr_line_Nov_67,0.0
earliest_cr_line_Nov_68,0.0
earliest_cr_line_Nov_69,0.0
earliest_cr_line_Nov_70,0.0
earliest_cr_line_Nov_71,0.0
earliest_cr_line_Nov_72,0.0
earliest_cr_line_Nov_73,0.0
earliest_cr_line_Nov_74,0.0
earliest_cr_line_Nov_75,0.0
earliest_cr_line_Nov_76,0.0
earliest_cr_line_Nov_77,0.0
earliest_cr_line_Nov_78,0.0
earliest_cr_line_Nov_79,0.0
earliest_cr_line_Nov_81,0.0
earliest_cr_line_Nov_82,0.0
earliest_cr_line_Nov_83,0.0
earliest_cr_line_Nov_84,0.0
earliest_cr_line_Nov_85,0.0
earliest_cr_line_Nov_86,0.0
earliest_cr_line_Nov_87,0.0
earliest_cr_line_Nov_88,0.0
earliest_cr_line_Nov_89,0.0
earliest_cr_line_Nov_90,0.0
earliest_cr_line_Nov_91,0.0
interest_rate_env,0.0
earliest_cr_line_Nov_93,0.0
earliest_cr_line_Nov_95,0.0
grade_G,0.0
sub_grade_A2,0.0
unemployment_rate,0.0
economic_stress,0.0
mobile_usage_score,0.0
earliest_cr_line_Apr_02,0.0
sub_grade_C3,0.0
earliest_cr_line_Apr_04,0.0
earliest_cr_line_Apr_05,0.0
earliest_cr_line_Apr_06,0.0
earliest_cr_line_Oct_02,0.0
earliest_cr_line_Oct_03,0.0
earliest_cr_line_Oct_05,0.0
earliest_cr_line_Oct_06,0.0
earliest_cr_line_Oct_07,0.0
earliest_cr_line_Oct_08,0.0
earliest_cr_line_Oct_09,0.0
earliest_cr_line_Oct_10,0.0
earliest_cr_line_Oct_11,0.0
earliest_cr_line_Oct_12,0.0
earliest_cr_line_Oct_58,0.0
earliest_cr_line_Oct_59,0.0
earliest_cr_line_Oct_62,0.0
earliest_cr_line_Oct_63,0.0
earliest_cr_line_Oct_64,0.0
earliest_cr_line_Oct_65,0.0
earliest_cr_line_Oct_66,0.0
earliest_cr_line_Oct_67,0.0
earliest_cr_line_Oct_68,0.0
earliest_cr_line_Oct_69,0.0
earliest_cr_line_Oct_70,0.0
earliest_cr_line_Oct_71,0.0
earliest_cr_line_Oct_72,0.0
earliest_cr_line_Oct_73,0.0
earliest_cr_line_Oct_74,0.0
digital_txn_count,0.0
utility_payment_score,0.0
employment_stability,0.0
recent_inquiries_flag,0.0
earliest_cr_line_Apr_07,0.0
low_fico_flag,0.0
grade_E,0.0
earliest_cr_line_Oct_75,0.0
earliest_cr_line_Oct_77,0.0
earliest_cr_line_Oct_78,0.0
earliest_cr_line_Oct_79,0.0
earliest_cr_line_Oct_80,0.0
earliest_cr_line_Oct_81,0.0
earliest_cr_line_Oct_82,0.0
earliest_cr_line_Oct_83,0.0
earliest_cr_line_Oct_84,0.0
earliest_cr_line_Oct_85,0.0
earliest_cr_line_Oct_86,0.0
earliest_cr_line_Oct_88,0.0
earliest_cr_line_Oct_89,0.0
earliest_cr_line_Oct_91,0.0
earliest_cr_line_Oct_92,0.0
earliest_cr_line_Oct_93,0.0
earliest_cr_line_Oct_94,0.0
earliest_cr_line_Oct_95,0.0
earliest_cr_line_Oct_96,0.0
